image_id,filename,width,height,category_id,category,bbox_x_min,bbox_y_min,bbox_width,bbox_height
47,batch_1/000065.JPG,3264,2448,28,Metal lid,1414.0,1285.0,599.0,594.0
47,batch_1/000065.JPG,3264,2448,15,Egg carton,1824.0,475.0,1028.0,735.0
47,batch_1/000065.JPG,3264,2448,15,Egg carton,1183.0,55.0,1006.0,1054.0
48,batch_1/000066.JPG,3264,2448,15,Egg carton,413.0,1120.0,1143.0,922.0
49,batch_1/000067.JPG,2448,3264,15,Egg carton,31.0,194.0,1700.0,2107.0
50,batch_1/000068.JPG,2448,3264,55,Plastic straw,898.0,1777.0,770.0,197.0
51,batch_1/000069.JPG,2448,3264,12,Drink can,1050.0,1654.0,410.0,353.0
52,batch_1/000070.JPG,2448,3264,12,Drink can,1038.0,1111.0,255.0,637.0
53,batch_1/000071.JPG,2448,3264,14,Other carton,1024.0,1397.0,556.0,592.0
54,batch_1/000072.JPG,2448,3264,42,Crisp packet,704.0,1301.0,683.0,591.0
54,batch_1/000072.JPG,2448,3264,33,Normal paper,1.0,1413.0,814.0,1030.0
55,batch_1/000073.JPG,2448,3264,12,Drink can,940.0,837.0,492.0,711.0
56,batch_1/000074.JPG,2448,3264,20,Paper cup,1205.0,1905.0,211.0,271.0
57,batch_1/000076.JPG,2448,3264,55,Plastic straw,603.0,1908.0,382.0,359.0
58,batch_1/000078.JPG,2448,3264,34,Paper bag,421.0,1009.0,1362.0,1946.0
59,batch_1/000079.JPG,2448,3264,34,Paper bag,257.0,1089.0,1712.0,1781.0
60,batch_1/000081.JPG,2448,3264,5,Clear plastic bottle,749.0,1972.0,444.0,284.0
60,batch_1/000081.JPG,2448,3264,7,Plastic bottle cap,1135.0,1972.0,57.0,91.0
61,batch_1/000082.JPG,2448,3264,42,Crisp packet,966.0,1399.0,525.0,485.0
62,batch_1/000083.JPG,2448,3264,20,Paper cup,942.0,950.0,494.0,504.0
62,batch_1/000083.JPG,2448,3264,27,Plastic lid,1390.0,915.0,278.0,564.0
63,batch_1/000084.JPG,2448,3264,21,Disposable plastic cup,701.0,2191.0,605.0,559.0
63,batch_1/000084.JPG,2448,3264,27,Plastic lid,1070.0,2180.0,306.0,426.0
63,batch_1/000084.JPG,2448,3264,12,Drink can,1090.0,411.0,170.0,148.0
63,batch_1/000084.JPG,2448,3264,12,Drink can,1905.0,284.0,146.0,151.0
64,batch_1/000085.JPG,2448,3264,55,Plastic straw,871.0,1258.0,841.0,313.0
64,batch_1/000085.JPG,2448,3264,9,Broken glass,1562.0,1159.0,69.0,96.0
64,batch_1/000085.JPG,2448,3264,9,Broken glass,2355.0,1425.0,74.0,44.0
65,batch_1/000086.JPG,2448,3264,49,Plastic utensils,1246.0,1052.0,407.0,563.0
66,batch_1/000087.JPG,2448,3264,34,Paper bag,1018.0,1125.0,358.0,397.0
67,batch_1/000088.JPG,2448,3264,10,Food Can,311.0,1648.0,865.0,853.0
67,batch_1/000088.JPG,2448,3264,26,Glass jar,1633.0,1055.0,724.0,1196.0
67,batch_1/000088.JPG,2448,3264,28,Metal lid,1833.0,1055.0,519.0,365.0
67,batch_1/000088.JPG,2448,3264,31,Tissues,829.0,2.0,1196.0,1267.0
68,batch_1/000090.JPG,2448,3264,10,Food Can,608.0,439.0,931.0,1192.0
68,batch_1/000090.JPG,2448,3264,25,Food waste,1118.0,1008.0,386.0,380.0
69,batch_1/000091.JPG,3264,2448,54,Squeezable tube,0.0,414.0,2190.0,1601.0
69,batch_1/000091.JPG,3264,2448,8,Metal bottle cap,2593.0,914.0,582.0,441.0
70,batch_1/000092.JPG,2448,3264,14,Other carton,277.0,686.0,1133.0,1198.0
70,batch_1/000092.JPG,2448,3264,43,Spread tub,1533.0,926.0,618.0,656.0
70,batch_1/000092.JPG,2448,3264,39,Other plastic wrapper,1535.0,926.0,614.0,525.0
71,batch_1/000093.JPG,2448,3264,43,Spread tub,1278.0,1841.0,602.0,654.0
72,batch_1/000094.JPG,2448,3264,36,Plastic film,311.0,729.0,1507.0,1739.0
72,batch_1/000094.JPG,2448,3264,25,Food waste,665.0,936.0,1057.0,1023.0
73,batch_1/000095.JPG,2448,3264,40,Single-use carrier bag,620.0,1033.0,1749.0,2161.0
73,batch_1/000095.JPG,2448,3264,53,Shoe,959.0,583.0,366.0,521.0
73,batch_1/000095.JPG,2448,3264,53,Shoe,480.0,541.0,483.0,732.0
74,batch_1/000096.JPG,2448,3264,38,Garbage bag,597.0,1008.0,1218.0,1126.0
75,batch_1/000062.JPG,2448,3264,12,Drink can,870.0,673.0,620.0,386.0
75,batch_1/000062.JPG,2448,3264,12,Drink can,1447.0,829.0,603.0,661.0
75,batch_1/000062.JPG,2448,3264,5,Clear plastic bottle,657.0,1036.0,835.0,361.0
75,batch_1/000062.JPG,2448,3264,50,Pop tab,1472.0,1384.0,109.0,44.0
75,batch_1/000062.JPG,2448,3264,39,Other plastic wrapper,0.0,2135.0,440.0,745.0
75,batch_1/000062.JPG,2448,3264,39,Other plastic wrapper,1963.0,405.0,81.0,47.0
75,batch_1/000062.JPG,2448,3264,36,Plastic film,524.0,1487.0,878.0,1427.0
75,batch_1/000062.JPG,2448,3264,36,Plastic film,625.0,2233.0,403.0,461.0
75,batch_1/000062.JPG,2448,3264,36,Plastic film,1904.0,49.0,180.0,148.0
75,batch_1/000062.JPG,2448,3264,0,Aluminium foil,2016.0,1783.0,117.0,87.0
75,batch_1/000062.JPG,2448,3264,0,Aluminium foil,1065.0,2681.0,58.0,117.0
75,batch_1/000062.JPG,2448,3264,33,Normal paper,1113.0,411.0,105.0,180.0
75,batch_1/000062.JPG,2448,3264,7,Plastic bottle cap,657.0,1217.0,80.0,160.0
76,batch_1/000098.JPG,2448,3264,5,Clear plastic bottle,571.0,985.0,447.0,814.0
76,batch_1/000098.JPG,2448,3264,39,Other plastic wrapper,1751.0,2342.0,174.0,90.0
76,batch_1/000098.JPG,2448,3264,8,Metal bottle cap,1998.0,1730.0,85.0,67.0
76,batch_1/000098.JPG,2448,3264,7,Plastic bottle cap,797.0,985.0,96.0,53.0
76,batch_1/000098.JPG,2448,3264,50,Pop tab,1913.0,2526.0,125.0,95.0
77,batch_1/000099.JPG,2448,3264,37,Six pack rings,657.0,15.0,553.0,583.0
77,batch_1/000099.JPG,2448,3264,27,Plastic lid,850.0,1772.0,424.0,418.0
78,batch_1/000064.JPG,2448,3264,22,Foam cup,913.0,1077.0,606.0,591.0
79,batch_1/000100.JPG,2448,3264,22,Foam cup,930.0,615.0,706.0,709.0
80,batch_1/000101.JPG,2448,3264,56,Paper straw,1040.0,59.0,910.0,2252.0
80,batch_1/000101.JPG,2448,3264,23,Glass cup,439.0,1055.0,1445.0,1373.0
81,batch_1/000102.JPG,2448,3264,17,Corrugated carton,812.0,1171.0,1204.0,825.0
81,batch_1/000102.JPG,2448,3264,17,Corrugated carton,955.0,340.0,1040.0,878.0
81,batch_1/000102.JPG,2448,3264,17,Corrugated carton,1824.0,720.0,610.0,818.0
81,batch_1/000102.JPG,2448,3264,25,Food waste,1177.0,1887.0,52.0,48.0
81,batch_1/000102.JPG,2448,3264,25,Food waste,1014.0,1875.0,50.0,46.0
81,batch_1/000102.JPG,2448,3264,58,Unlabeled litter,1097.0,222.0,106.0,70.0
82,batch_1/000104.JPG,3264,2448,2,Aluminium blister pack,1958.0,128.0,564.0,685.0
82,batch_1/000104.JPG,3264,2448,1,Battery,1322.0,425.0,311.0,215.0
82,batch_1/000104.JPG,3264,2448,11,Aerosol,734.0,1236.0,1192.0,1153.0
82,batch_1/000104.JPG,3264,2448,7,Plastic bottle cap,2245.0,1878.0,284.0,270.0
82,batch_1/000104.JPG,3264,2448,7,Plastic bottle cap,2493.0,1045.0,260.0,184.0
82,batch_1/000104.JPG,3264,2448,54,Squeezable tube,2493.0,1044.0,689.0,1229.0
82,batch_1/000104.JPG,3264,2448,54,Squeezable tube,1545.0,1010.0,375.0,455.0
83,batch_1/000105.JPG,2448,3264,36,Plastic film,848.0,1113.0,1099.0,1418.0
84,batch_1/000106.JPG,2448,3264,13,Toilet tube,1105.0,827.0,756.0,295.0
84,batch_1/000106.JPG,2448,3264,13,Toilet tube,760.0,1661.0,523.0,195.0
84,batch_1/000106.JPG,2448,3264,13,Toilet tube,951.0,2782.0,299.0,422.0
84,batch_1/000106.JPG,2448,3264,4,Other plastic bottle,1680.0,2500.0,278.0,682.0
84,batch_1/000106.JPG,2448,3264,4,Other plastic bottle,2030.0,2438.0,417.0,635.0
84,batch_1/000106.JPG,2448,3264,7,Plastic bottle cap,2112.0,2439.0,336.0,229.0
85,batch_1/000107.JPG,2448,3264,12,Drink can,2039.0,1606.0,360.0,536.0
85,batch_1/000107.JPG,2448,3264,38,Garbage bag,1909.0,544.0,200.0,268.0
85,batch_1/000107.JPG,2448,3264,38,Garbage bag,2061.0,501.0,189.0,286.0
85,batch_1/000107.JPG,2448,3264,38,Garbage bag,2153.0,413.0,192.0,277.0
85,batch_1/000107.JPG,2448,3264,50,Pop tab,2223.0,2025.0,101.0,92.0
86,batch_1/000108.JPG,2448,3264,51,Rope & strings,821.0,1683.0,683.0,725.0
87,batch_1/000110.JPG,2448,3264,39,Other plastic wrapper,676.0,546.0,212.0,292.0
87,batch_1/000110.JPG,2448,3264,12,Drink can,779.0,2933.0,240.0,116.0
88,batch_1/000111.JPG,2448,3264,12,Drink can,844.0,2332.0,257.0,296.0
88,batch_1/000111.JPG,2448,3264,12,Drink can,434.0,1871.0,187.0,281.0
88,batch_1/000111.JPG,2448,3264,45,Disposable food container,839.0,1845.0,241.0,375.0
89,batch_1/000115.JPG,3264,2448,18,Meal carton,1523.0,1057.0,564.0,539.0
89,batch_1/000115.JPG,3264,2448,5,Clear plastic bottle,361.0,520.0,698.0,331.0
89,batch_1/000115.JPG,3264,2448,7,Plastic bottle cap,993.0,520.0,65.0,97.0
89,batch_1/000115.JPG,3264,2448,12,Drink can,2278.0,759.0,457.0,213.0
89,batch_1/000115.JPG,3264,2448,45,Disposable food container,2981.0,151.0,283.0,294.0
89,batch_1/000115.JPG,3264,2448,33,Normal paper,2427.0,845.0,413.0,262.0
89,batch_1/000115.JPG,3264,2448,58,Unlabeled litter,2728.0,797.0,131.0,84.0
89,batch_1/000115.JPG,3264,2448,58,Unlabeled litter,2803.0,116.0,102.0,113.0
90,batch_1/000117.JPG,2448,3264,20,Paper cup,1555.0,799.0,395.0,502.0
90,batch_1/000117.JPG,2448,3264,27,Plastic lid,1591.0,799.0,356.0,319.0
90,batch_1/000117.JPG,2448,3264,58,Unlabeled litter,2195.0,538.0,70.0,68.0
90,batch_1/000117.JPG,2448,3264,33,Normal paper,2185.0,1042.0,112.0,268.0
91,batch_1/000118.JPG,2448,3264,42,Crisp packet,831.0,1289.0,348.0,251.0
92,batch_1/000119.JPG,2448,3264,25,Food waste,922.0,1748.0,492.0,775.0
93,batch_1/000120.JPG,2448,3264,36,Plastic film,593.0,1208.0,1311.0,856.0
94,batch_1/000121.JPG,2448,3264,7,Plastic bottle cap,728.0,2087.0,192.0,204.0
94,batch_1/000121.JPG,2448,3264,8,Metal bottle cap,1050.0,1243.0,167.0,119.0
95,batch_1/000122.JPG,2448,3264,8,Metal bottle cap,654.0,1783.0,126.0,114.0
96,batch_1/000004.jpg,1241,751,12,Drink can,649.0,55.0,93.0,88.0
97,batch_1/000124.JPG,2448,3264,57,Styrofoam piece,489.0,124.0,1761.0,3125.0
97,batch_1/000124.JPG,2448,3264,0,Aluminium foil,808.0,2039.0,609.0,716.0
97,batch_1/000124.JPG,2448,3264,0,Aluminium foil,1318.0,2098.0,373.0,488.0
98,batch_1/000127.JPG,2448,3264,10,Food Can,1.0,1727.0,849.0,1217.0
98,batch_1/000127.JPG,2448,3264,10,Food Can,768.0,1254.0,962.0,675.0
98,batch_1/000127.JPG,2448,3264,36,Plastic film,0.0,702.0,877.0,1401.0
98,batch_1/000127.JPG,2448,3264,36,Plastic film,200.0,1601.0,2248.0,1663.0
98,batch_1/000127.JPG,2448,3264,38,Garbage bag,1.0,0.0,2447.0,1097.0
98,batch_1/000127.JPG,2448,3264,14,Other carton,661.0,97.0,1787.0,1212.0
98,batch_1/000127.JPG,2448,3264,14,Other carton,1711.0,1285.0,736.0,958.0
98,batch_1/000127.JPG,2448,3264,45,Disposable food container,0.0,158.0,1532.0,1156.0
98,batch_1/000127.JPG,2448,3264,43,Spread tub,634.0,71.0,513.0,163.0
98,batch_1/000127.JPG,2448,3264,31,Tissues,434.0,84.0,291.0,188.0
99,batch_1/000128.JPG,2448,3264,14,Other carton,0.0,0.0,1528.0,1687.0
99,batch_1/000128.JPG,2448,3264,16,Drink carton,52.0,71.0,758.0,654.0
99,batch_1/000128.JPG,2448,3264,14,Other carton,0.0,1093.0,1936.0,1756.0
99,batch_1/000128.JPG,2448,3264,12,Drink can,1102.0,861.0,611.0,339.0
99,batch_1/000128.JPG,2448,3264,10,Food Can,1505.0,401.0,543.0,567.0
99,batch_1/000128.JPG,2448,3264,10,Food Can,1850.0,1007.0,598.0,531.0
99,batch_1/000128.JPG,2448,3264,13,Toilet tube,1694.0,727.0,602.0,538.0
99,batch_1/000128.JPG,2448,3264,50,Pop tab,2294.0,1152.0,154.0,161.0
99,batch_1/000128.JPG,2448,3264,4,Other plastic bottle,954.0,1582.0,1492.0,1290.0
99,batch_1/000128.JPG,2448,3264,7,Plastic bottle cap,953.0,2663.0,173.0,211.0
99,batch_1/000128.JPG,2448,3264,36,Plastic film,0.0,2601.0,868.0,617.0
99,batch_1/000128.JPG,2448,3264,0,Aluminium foil,739.0,2488.0,704.0,570.0
99,batch_1/000128.JPG,2448,3264,0,Aluminium foil,1447.0,2388.0,1001.0,876.0
100,batch_1/000129.JPG,2448,3264,17,Corrugated carton,0.0,1139.0,2394.0,1963.0
100,batch_1/000129.JPG,2448,3264,10,Food Can,618.0,1224.0,249.0,242.0
100,batch_1/000129.JPG,2448,3264,16,Drink carton,984.0,901.0,440.0,633.0
100,batch_1/000129.JPG,2448,3264,14,Other carton,1014.0,805.0,447.0,362.0
100,batch_1/000129.JPG,2448,3264,15,Egg carton,1196.0,549.0,262.0,276.0
100,batch_1/000129.JPG,2448,3264,14,Other carton,1479.0,772.0,596.0,328.0
100,batch_1/000129.JPG,2448,3264,14,Other carton,335.0,641.0,620.0,511.0
30,batch_1/000028.jpg,1537,2049,59,Cigarette,454.0,1437.0,36.0,102.0
50,batch_1/000068.JPG,2448,3264,59,Cigarette,170.0,1508.0,86.0,154.0
50,batch_1/000068.JPG,2448,3264,59,Cigarette,130.0,1348.0,78.0,98.0
54,batch_1/000072.JPG,2448,3264,59,Cigarette,968.0,2492.0,138.0,126.0
56,batch_1/000074.JPG,2448,3264,59,Cigarette,1776.0,1222.0,38.0,10.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,548.0,1836.0,52.0,52.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,368.0,1658.0,56.0,58.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,302.0,1634.0,76.0,80.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,54.0,1340.0,60.0,62.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,1180.0,876.0,74.0,70.0
57,batch_1/000076.JPG,2448,3264,59,Cigarette,1026.0,1004.0,70.0,70.0
60,batch_1/000081.JPG,2448,3264,59,Cigarette,1388.0,2610.0,64.0,96.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1338.0,1236.0,74.0,46.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1536.0,1146.0,118.0,32.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1590.0,1214.0,124.0,86.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1676.0,1424.0,34.0,102.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1710.0,1472.0,104.0,40.0
64,batch_1/000085.JPG,2448,3264,59,Cigarette,1854.0,1278.0,28.0,82.0
65,batch_1/000086.JPG,2448,3264,59,Cigarette,740.0,540.0,122.0,62.0
65,batch_1/000086.JPG,2448,3264,59,Cigarette,1396.0,1630.0,124.0,86.0
66,batch_1/000087.JPG,2448,3264,59,Cigarette,148.0,816.0,60.0,72.0
